,L,R
0,z,G3
1,z,D#4A4
2,z,A4
3,G3C4D#4,G5C6D#6G6
4,C#4,C#5
5,C4,D#5
6,z,z
7,z,B5
8,C3D#3G3,G4G5
9,C#4,C#5
10,A#2,A#3
11,G#3A#3D4,F4A#4F5
12,G2,D5G5
13,z,z
14,z,A5
15,C#4,C#5
16,G3,B4
17,z,C5
18,z,G4
19,z,z
20,z,C5
21,D3,G4B4
22,C3D#3G3,D4D5
23,z,A5
24,C3C4,G5A#5E6
25,z,G4
26,z,z
27,z,G5
28,z,G4
29,A#2,A#4
30,C#4,C#5
31,z,E5
32,z,G5
33,G3,F#4
34,z,C5
35,z,z
36,z,z
37,A#2,A#4
38,D#3G#3C4,C5D#5
39,z,G5
40,E3A3C#4,C#6
41,z,G3
42,G3,B4
43,C3D#3G3,G4G5
44,z,C5
45,z,D6
46,z,B5
47,z,G5
48,F3,F4
49,z,D5
50,A#2D#3G3,A#4D5
51,z,A4
52,z,A5
53,z,A4
54,C3,C6
55,z,z
56,G2,A3D4F#4
57,F3,F4
58,z,G4
59,z,D5
60,z,G3
61,z,z
62,z,E5
63,z,C5
64,z,A4
65,z,F5
66,z,A5
67,G3,F#4
68,G3,B4
69,D2,C#4E4
70,z,z
71,z,G4
72,z,D5
73,z,z
74,z,z
75,C3D#3G3,G4G5
76,z,D5
77,G3D4F4G4,B2
78,z,G4
79,z,G4
80,z,z
81,z,G5
82,z,E4
83,z,D5
84,z,E4
85,z,E4
86,G3,F#4
87,z,G4
88,F3,F4
89,z,A4
90,z,E5
91,C4D4,B4G#5
92,z,E4
93,C3,C6
94,z,C3D#3G3
95,z,C5
96,D#3G3C4,D#4G4D5
97,z,C5D#5G5
98,F#3,F#5
99,z,F5
100,A#2D#3G3,G4A#4D#5
101,z,D5
102,A#2,A#3
103,A#2D#3G3,A#4D5
104,z,D5
105,F3,F4
106,z,G5
107,A#2,A#4
108,z,G#5C6
109,F3,D4
110,z,D5
111,z,A5
112,z,F5
113,z,A4
114,z,F5
115,z,A5
116,z,G5
117,G3,F#4
118,z,E5
119,z,C5
120,G3,B4
121,F3,F4
122,z,z
123,G3,B4
124,z,G4
125,z,C3D#3G3
126,z,C5
127,A#2D#3G3,A#4D5
128,F3A3C4,A4C5
129,z,G4
130,z,z
131,z,z
132,z,A4
133,z,G5
134,G3,B4
135,z,G4
136,z,B5
137,z,D5
138,z,z
139,A#1A#2,F5A#5D6
140,z,C5
141,G3,B4
142,z,C3D#3G3
143,G3,B4
144,z,A4
145,z,G5
146,z,G5
147,G3,B4
148,F3,D4
149,G3,B4
150,z,D5
151,z,F5
152,z,E5
153,z,F5
154,F#4,A4F#5A5
155,z,D5
156,G3,D#4
157,D#2,F5C#6
158,G3,F#4
159,E3G3C4,F4A4
160,z,G4
161,z,z
162,F3,D4
163,A#2,D4F4A#4
164,D#3G#3C4,C5D#5
165,z,E4
166,C3,A3
167,z,C5
168,A#2,A#3
169,z,A4
170,C3D#3G3,D#4D#5
171,z,E5
172,z,z
173,G#2,C5D#5G#5C6
174,C3,C4
