,L,R
0,G3,A#5
1,G3,A#5
2,G3,A#5
3,G3,A#5
4,z,A5
5,z,A5
6,z,A5
7,z,A5
8,z,G5
9,z,G5
10,z,G5
11,z,G5
12,z,A5
13,z,A5
14,z,A5
15,z,A5
16,z,D5
17,z,D5
18,z,D5
19,z,D5
20,z,D5
21,z,D5
22,z,D5
23,z,D5
24,z,G5
25,z,G5
26,z,G5
27,z,G5
28,z,G4
29,z,G4
30,z,A4
31,z,A4
32,A#2,A#4
33,A#2,A#4
34,z,C5
35,z,C5
36,z,D5
37,z,D5
38,z,D5
39,z,D5
40,z,D5
41,z,D5
42,z,D5
43,z,D5
44,z,D5
45,z,D5
46,z,D5
47,z,D5
48,C4,D#5
49,C4,D#5
50,C4,D#5
51,C4,D#5
52,z,F5
53,z,F5
54,C4,D#5
55,C4,D#5
56,z,D5
57,z,D5
58,z,C5
59,z,C5
60,z,D5
61,z,D5
62,z,D5
63,z,D5
64,C4,D#5
65,C4,D#5
66,z,D5
67,z,D5
68,z,C5
69,z,C5
70,A#2,A#4
71,A#2,A#4
72,z,C5
73,z,C5
74,z,C5
75,z,C5
76,z,D5
77,z,D5
78,z,C5
79,z,C5
80,A#2,A#4
81,A#2,A#4
82,z,C5
83,z,C5
84,z,A4
85,z,A4
86,z,A4
87,z,A4
88,z,A4
89,z,A4
90,z,A4
91,z,A4
92,z,A4
93,z,A4
94,z,A4
95,z,A4
96,G3,A#5
97,G3,A#5
98,G3,A#5
99,G3,A#5
100,z,A5
101,z,A5
102,z,A5
103,z,A5
104,z,G5
105,z,G5
106,z,G5
107,z,G5
108,z,A5
109,z,A5
110,z,A5
111,z,A5
112,z,D5
113,z,D5
114,z,D5
115,z,D5
116,z,D5
117,z,D5
118,z,D5
119,z,D5
120,z,G5
121,z,G5
122,z,G5
123,z,G5
124,z,G4
125,z,G4
126,z,A4
127,z,A4
128,A#2,A#4
129,A#2,A#4
130,z,C5
131,z,C5
132,z,D5
133,z,D5
134,z,D5
135,z,D5
136,z,D5
137,z,D5
138,z,D5
139,z,D5
140,z,D5
141,z,D5
142,z,D5
143,z,D5
144,z,F5
145,z,F5
146,z,F5
147,z,F5
148,z,G5
149,z,G5
150,z,F5
151,z,F5
152,C4,D#5
153,C4,D#5
154,z,D5
155,z,D5
156,C4,D#5
157,C4,D#5
158,C4,D#5
159,C4,D#5
160,z,F5
161,z,F5
162,C4,D#5
163,C4,D#5
164,z,D5
165,z,D5
166,z,C5
167,z,C5
168,z,D5
169,z,D5
170,z,D5
171,z,D5
172,z,G5
173,z,G5
174,z,G5
175,z,G5
176,z,C5
177,z,C5
178,z,C5
179,z,C5
180,A#2,D4F4A#4
181,A#2,D4F4A#4
182,A#2,D4F4A#4
183,A#2,D4F4A#4
184,A#2,D4F4A#4
185,A#2,D4F4A#4
186,A#2,D4F4A#4
187,A#2,D4F4A#4
188,A#2,D4F4A#4
189,A#2,D4F4A#4
190,A#2,D4F4A#4
191,A#2,D4F4A#4
192,z,D5
193,z,D5
194,z,D5
195,z,D5
196,A#2,A#4
197,A#2,A#4
198,z,C5
199,z,C5
200,z,D5
201,z,D5
202,z,E5
203,z,E5
204,z,F5
205,z,F5
206,z,F5
207,z,F5
208,z,G5
209,z,G5
210,z,G5
211,z,G5
212,z,A5
213,z,A5
214,z,A5
215,z,A5
216,G3,A#5
217,G3,A#5
218,G3,A#5
219,G3,A#5
220,z,G5
221,z,G5
222,z,A5
223,z,A5
224,G3,A#5
225,G3,A#5
226,z,G5
227,z,G5
228,z,A5
229,z,A5
230,z,A5
231,z,A5
232,z,G5
233,z,G5
234,z,A5
235,z,A5
236,z,F5
237,z,F5
238,z,F5
239,z,F5
240,F3,F4
241,F3,F4
242,z,G4
243,z,G4
244,z,A4
245,z,A4
246,A#2,A#4
247,A#2,A#4
248,z,C5
249,z,C5
250,z,D5
251,z,D5
252,C4,D#5
253,C4,D#5
254,C4,D#5
255,C4,D#5
256,z,D5
257,z,D5
258,z,D5
259,z,D5
260,z,C5
261,z,C5
262,z,C5
263,z,C5
264,z,F5
265,z,F5
266,z,F5
267,z,F5
268,A#2,A#4
269,A#2,A#4
270,A#2,A#4
271,A#2,A#4
272,z,A4
273,z,A4
274,z,A4
275,z,A4
276,A#2,A#4
277,A#2,A#4
278,A#2,A#4
279,A#2,A#4
280,A#2,A#4
281,A#2,A#4
282,A#2,A#4
283,A#2,A#4
284,A#2,A#4
285,A#2,A#4
286,A#2,A#4
287,A#2,A#4
288,z,G4
289,z,G4
290,z,G4
291,z,G4
292,z,D5
293,z,D5
294,z,C5
295,z,C5
296,z,D5
297,z,D5
298,z,D5
299,z,D5
300,z,G4
301,z,G4
302,z,G4
303,z,G4
304,C4,D#5
305,C4,D#5
306,z,D5
307,z,D5
308,C4,D#5
309,C4,D#5
310,C4,D#5
311,C4,D#5
312,z,G4
313,z,G4
314,z,D5
315,z,D5
316,D3,F#4
317,D3,F#4
318,z,C5
319,z,C5
320,z,G4
321,z,G4
322,A#2,A#4
323,A#2,A#4
324,z,A4
325,z,A4
326,z,A4
327,z,A4
328,z,A4
329,z,A4
330,z,A4
331,z,A4
332,z,A4
333,z,A4
334,z,A4
335,z,A4
336,F3,D4
337,F3,D4
338,z,E4
339,z,E4
340,D3,F#4
341,D3,F#4
342,z,G4
343,z,G4
344,z,A4
345,z,A4
346,A#2,A#4
347,A#2,A#4
348,z,C5
349,z,C5
350,z,C5
351,z,C5
352,A#2,A#4
353,A#2,A#4
354,A#2,A#4
355,A#2,A#4
356,z,A4
357,z,A4
358,z,A4
359,z,A4
360,A#2,A#4
361,A#2,A#4
362,z,C5
363,z,D5
364,z,G4
365,z,G4
366,z,G4
367,z,G4
368,D3,F#4
369,D3,F#4
370,D3,F#4
371,D3,F#4
372,G2,A#3D4G4
373,G2,A#3D4G4
374,G2,A#3D4G4
375,G2,A#3D4G4
376,G2,A#3D4G4
377,G2,A#3D4G4
378,G2,A#3D4G4
