,L,R
0,z,B4
1,z,z
2,z,C5
3,z,A4
4,z,D6
5,z,E4
6,F3,F4
7,F3,D4
8,z,A5
9,z,D5
10,z,B3
11,z,B4
12,z,z
13,z,G4
14,z,F#5
15,A#2,A#3
16,z,G4
17,z,G3
18,z,A4
19,z,C#5
20,G3,D#4
21,z,E5
22,z,C#5
23,z,z
24,A#2,A#3
25,E3G3,C5E5
26,z,G5
27,z,z
28,D3,F#4
29,z,E5
30,z,F5
31,z,C5
32,z,B4
33,E3G3,C5E5
34,z,G5
35,C3,C4
36,C4D4,C5A5
37,z,C4E4
38,A3,B4D5
39,z,G4
40,z,C5
41,z,E5
42,z,D5
43,z,A4
44,A3,C#5E5
45,G3,D5F5
46,z,B4
47,D3,F#4
48,z,E4
49,z,C5
50,z,F#5
51,z,G4
52,z,A4
53,z,C5
54,z,C5
55,z,F5
56,D4,E5G5
57,z,z
58,A3,D5F#5
59,z,E4
60,A#2,A#4
61,z,B4
62,z,G4
63,z,C6
64,z,B4
65,F3,F4
66,z,A4
67,z,A4
68,z,D5
69,z,A5
70,D3,F#4
71,F3,D4
72,z,G4
73,z,C5
74,z,A4
75,z,B5
76,z,E5
77,z,z
78,z,F5
79,z,D5
80,z,C5
81,z,C5
82,z,A4
83,z,z
84,D4,G5B5
85,D3,G4B4
86,z,E4
87,E3G3,C5E5
88,z,A5
89,F3,D4
90,z,B5
91,z,D6
92,z,B4
93,F2,A3F4
94,z,D6
95,F3,F4
96,z,F5
97,z,G4
98,z,C5
99,F3,F4
100,C3,C4
101,z,C5
102,z,z
103,z,A4
104,z,A5
105,A#2,A#4
106,z,B4
107,z,z
108,z,B4
109,z,z
110,z,E4
111,z,D5
112,z,F5
113,F#3,B4D5G5
114,z,G5
115,z,D5
116,z,D5
117,z,B4
118,z,D6
119,z,G5
120,z,G5
121,z,G4
122,F3,A5C6
123,z,A5
124,z,C5
125,C4D4,B4G#5
126,z,B4
127,z,B4
128,z,B4
129,A#2,A#4
130,A#2,A#4
131,z,z
132,z,A4
133,z,B4
134,z,E5
135,z,C6
136,z,C5
137,z,G4
138,F3,D4
139,z,E4G4
140,z,A5
141,z,G3
142,z,A5
143,z,B4
144,F3,D4
145,z,D5
146,z,A5
147,z,E4G4
148,C3,C4
149,z,G4
150,D3,F#4
151,z,A4
152,z,E5
153,C3C4,G4A#4E5
154,z,A4
155,z,C5
156,F3,F4
157,F3,D4
158,z,G5
159,F3,F4
160,F2,A3F4
161,F#2F#3,A4C5
162,A3,C#6
163,z,D5
164,z,D5
165,A3,G#4
166,F3,F4
167,z,A4
168,z,C5
169,z,E5
170,A#2,A#4
171,z,G5
172,z,A4
173,F3,F4
174,A3,B4D5
175,z,G4
176,z,C5
177,F3,F4
178,z,B4
179,z,A4
180,z,B4
181,z,F#5A5
182,z,z
183,E2E3,D4E4G#4
184,z,B4
185,G3C4,G5C6
186,z,F4A4
187,D2,C#4
188,z,G5
189,z,z
190,A3,G#4
191,z,B4
192,A3,G#4
193,G3,D#4
194,A3,C#5E5
195,z,D5
196,z,G5
197,z,B5
198,B3,G#5
199,G3D4,B4G5
200,A3,G#4
201,z,z
202,E2,E3C4
203,z,A5
204,E3G3,C5E5
205,A#2,A#4
206,z,A4
207,z,F5
208,F3,F4
209,z,B4
210,z,C5
211,z,z
212,E3G3,C5E5
213,D3,F#4
214,z,F#5
215,F3,F4
216,z,C6
217,z,E5
218,z,C5
219,z,E5
220,z,A5
221,z,D5
222,z,A5
223,z,C5
224,A3,C#5E5
225,z,E5
226,C3,C4
227,z,D6
228,E3G3,C5E5
229,F3,D4
230,z,G4
231,z,A5
232,z,F5
233,z,G4
234,z,B3
235,A#2,A#4
236,F3,D4
237,E3G3,C5E5
238,z,F5
239,z,G4
240,z,C#5
241,B2,D4F4
242,z,B3
243,z,G5
244,z,C5
245,z,D6
246,F3,F4
247,z,C5
248,z,G5
249,z,B4
250,C3,C4
251,z,D5
252,B2,D4F4
253,z,C#5
254,z,B4
255,z,z
256,z,G4
257,z,A5
258,z,A4
259,F3,D4
260,z,D5
261,z,B5
262,G3,D#4
263,z,C6
264,z,D5
265,z,C5
266,z,C5
267,F#3,C5D5
268,z,G4
269,z,C5
270,z,G4
271,F2,A3F4
272,z,G5
273,z,E5
274,z,A5
275,z,A4
276,F3,D4
277,z,F#5
278,z,D5
279,G3,E6
280,z,C#5
281,A3,G#4
282,z,G4
283,z,E5
284,z,D5
285,z,E5
286,z,G4
287,z,D6
288,F3,F4
289,z,D5
290,z,D5
291,z,z
292,z,E5
293,F3,D4
294,z,A4
295,D3,F#4
296,F#2F#3,A4C5
297,B3D4,E5C6
298,z,z
299,z,A4
300,z,D6
301,z,G5
302,z,z
303,z,D5
304,A#3,G4C5
305,z,A5
306,z,A4
307,C4,D#5
308,z,B4
309,z,A4
310,z,z
311,z,D5
312,C4,G5A#5
313,z,A4
314,z,F#5A5
315,z,z
316,z,G4
317,z,D5
318,A#2,A#4
319,z,E5
